ID,Name,Email,year,major,date,time,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,has_exam,start,end,bus_num,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
119,Ernest Barker,ernestbarker@example.com,Year 1,food science and technology,8/10/2024,1/1/1900 11:30,Yes,To go for meals,2,8,No,UTown,LT27 / S17,D2,Sunny,20,8,5,5,5,5,5,5
120,Beverly Holloway,beverlyholloway@example.com,Year 1,food science and technology,8/10/2024,1/1/1900 11:15,No,To go to class,2,10,Yes,UTown,IT / CLB,D1,Sunny,10,6,6,7,5,4,5,5
121,Richard Weber,richardweber@example.net,Year 2,mathematics,8/10/2024,1/1/1900 12:20,No,To go to class,2,20,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Sunny,20,9,5,9,2,2,3,5
122,Bethany Watkins,bethanywatkins@example.net,Year 3,law,8/10/2024,1/1/1900 9:00,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,30,10,5,9,2,4,8,5
123,Jordan Zimmerman,jordanzimmerman@example.org,Year 4,dentistry,8/10/2024,1/1/1900 9:00,No,To go to class,3,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,40,15,2,9,4,7,9,6
124,Troy Smith,troysmith@example.org,Year 2,nursing,8/10/2024,1/1/1900 9:50,Yes,To go to class,2,30,Yes,LT13 / Ventus,LT27 / S17,A1,Sunny,40,6,8,9,3,9,10,7
125,William Hampton,williamhampton@example.net,Year 2,environmental studies,8/10/2024,1/1/1900 7:10,Yes,To go to class,4,50,Yes,PGP,UHC / Opp UHC,A1,Sunny,30,4,9,4,9,10,10,9
126,Patricia Anderson,patriciaanderson@example.org,Year 3,data science and analytics,9/10/2024,1/1/1900 10:40,No,To go to class,2,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Sunny,20,7,4,6,6,7,8,7
127,Roberto Kirk,robertokirk@example.org,Year 3,mathematics,9/10/2024,1/1/1900 13:30,Yes,To go to class,4,15,Yes,PGP,IT / CLB,A1,Sunny,10,5,9,5,9,9,9,9
128,Angela Torres,angelatorres@example.com,Year 3,economics,9/10/2024,1/1/1900 11:45,Yes,To go to CCA sessions,2,10,No,UHC / Opp UHC,IT / CLB,A1,Sunny,5,7,5,8,5,5,5,4
129,Bradley Evans,bradleyevans@example.net,Year 1,anthropology,9/10/2024,1/1/1900 11:50,No,To go for meals,4,15,No,UHC / Opp UHC,LT27 / S17,A2,Sunny,6,6,6,6,5,5,4,6
130,Katherine Luna,katherineluna@example.org,Year 3,life sciences,9/10/2024,1/1/1900 21:15,Yes,To go to MRT,1,8,No,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,Sunny,10,5,8,7,7,6,5,6
131,Matthew Douglas,matthewdouglas@example.net,Year 3,food science and technology,9/10/2024,1/1/1900 15:50,No,To go to CCA sessions,2,10,No,LT27 / S17,UHC / Opp UHC,D2,Sunny,7,1,10,1,10,10,10,10
132,Laura Jordan,laurajordan@example.net,Year 3,mathematics,9/10/2024,1/1/1900 13:23,No,To go to CCA sessions,3,15,No,BIZ2 / Opp HSSML,LT13 / Ventus,A2,Sunny,7,3,10,5,5,5,5,5
133,Christopher Obrien,christopherobrien@example.net,Year 3,law,9/10/2024,1/1/1900 13:00,No,To go to MRT,4,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,35,15,2,10,1,3,7,3
134,Richard Macdonald,richardmacdonald@example.net,Year 3,political science,9/10/2024,1/1/1900 9:30,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,20,No,PGP,LT13 / Ventus,A2,Sunny,20,10,4,8,5,7,8,7
135,Maria Green,mariagreen@example.net,Year 1,dentistry,9/10/2024,1/1/1900 11:30,No,To go to class,3,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,5,9,8,3,6,9,8
136,Robert Johnson,robertjohnson@example.com,Year 1,nursing,9/10/2024,1/1/1900 7:15,No,To go to class,2,30,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Rainy,35,4,9,9,4,8,10,8
137,John Huffman,johnhuffman@example.com,Year 3,data science and analytics,10/10/2024,1/1/1900 10:45,No,To go to class,4,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Sunny,20,5,6,7,5,6,8,7
138,Jason Jones,jasonjones@example.org,Year 4,sociology,10/10/2024,1/1/1900 8:50,Yes,To go for meals,2,2,No,UHC / Opp UHC,IT / CLB,A1,Sunny,3,1,9,9,5,5,7,6
139,Dominic Todd,dominictodd@example.org,Year 2,social work,10/10/2024,1/1/1900 13:45,Yes,To go to class,3,15,No,UHC / Opp UHC,UTown,D2,Sunny,15,4,6,6,6,5,6,6
140,Abigail Williams,abigailwilliams@example.net,Year 2,anthropology,10/10/2024,1/1/1900 9:50,No,To go to class,2,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Sunny,30,15,2,9,2,2,2,2
141,James Higgins,jameshiggins@example.com,Year 4,life sciences,10/10/2024,1/1/1900 13:30,No,To go for meals,4,20,No,BIZ2 / Opp HSSML,PGP,A1,Rainy,7,7,7,4,6,6,5,7
142,Amanda Murphy,amandamurphy@example.com,Year 4,food science and technology,10/10/2024,1/1/1900 9:15,No,To go to MRT,2,15,No,PGP,Kent Ridge MRT / Opp Kent Ridge MRT,A1,Sunny,8,3,5,5,5,5,5,5
143,Jenna Moore,jennamoore@example.org,Year 4,mathematics,10/10/2024,1/1/1900 10:50,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,12,2,8,4,4,4,4
144,Heather Rodriguez,heatherrodriguez@example.net,Year 2,psychology,10/10/2024,1/1/1900 12:00,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,6,6,7,6,8,8,7
145,Gregory Erickson,gregoryerickson@example.org,Year 4,political science,10/10/2024,1/1/1900 10:00,No,To go to class,4,45,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,8,7,8,4,8,9,7
146,Paul Lee,paullee@example.org,Year 4,political science,10/10/2024,1/1/1900 9:30,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,10,6,7,5,7,10,7
147,Devin Miller,devinmiller@example.org,Year 2,dentistry,10/10/2024,1/1/1900 9:30,No,To go to class,3,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,30,15,3,10,3,6,5,3
148,Karen Adams,karenadams@example.net,Year 2,computer science,11/10/2024,1/1/1900 8:55,Yes,To go to class,2,10,No,UHC / Opp UHC,IT / CLB,A1,Sunny,9,5,3,7,7,6,9,8
149,Barbara Sanchez,barbarasanchez@example.org,Year 2,data science and analytics,11/10/2024,1/1/1900 15:30,Yes,To go to class,2,10,No,UTown,UHC / Opp UHC,D2,Rainy,20,4,7,5,7,6,6,7
150,John Chen,johnchen@example.net,Year 2,psychology,11/10/2024,1/1/1900 17:10,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",1,10,No,LT13 / Ventus,UTown,D1,Sunny,4,8,4,4,9,7,10,8
151,Katherine Mitchell,katherinemitchell@example.com,Year 2,food science and technology,11/10/2024,1/1/1900 17:30,Yes,To go to class,2,10,No,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D2,Sunny,10,10,1,10,1,1,3,1
152,Gary May,garymay@example.net,Year 2,data science and analytics,11/10/2024,1/1/1900 11:30,Yes,To go to class,2,30,No,UHC / Opp UHC,COM3,D2,Rainy,5,7,7,10,3,3,4,4
153,Susan Parsons,susanparsons@example.org,Year 2,social work,11/10/2024,1/1/1900 9:45,Yes,To go to class,2,10,No,UHC / Opp UHC,IT / CLB,A2,Sunny,20,6,6,9,5,3,3,5
154,Natalie Williams,nataliewilliams@example.com,Year 3,data science and analytics,11/10/2024,1/1/1900 9:50,No,To go to class,3,35,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,5,6,7,6,7,8,6
155,Madeline Cox,madelinecox@example.net,Year 2,anthropology,11/10/2024,1/1/1900 19:00,Yes,To go to CCA sessions,2,12,No,LT27 / S17,UHC / Opp UHC,A1,Sunny,10,3,8,4,9,8,8,8
156,Amy Gallegos,amygallegos@example.net,Year 2,malay studies,11/10/2024,1/1/1900 9:00,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,15,No,PGP,LT13 / Ventus,A2,Sunny,15,6,6,6,7,7,7,7
157,Melissa Martinez,melissamartinez@example.net,Year 3,global studies,11/10/2024,1/1/1900 16:00,No,To go to class,4,40,No,LT13 / Ventus,Kent Ridge MRT / Opp Kent Ridge MRT,A1,Sunny,35,6,5,8,4,6,7,6
158,Samantha Wilson,samanthawilson@example.org,Year 2,political science,11/10/2024,1/1/1900 8:30,No,To go to class,3,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,10,4,8,3,7,8,5
159,Sara Hill,sarahill@example.net,Year 3,nursing,11/10/2024,1/1/1900 13:20,No,To go to class,2,25,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,15,6,5,6,7,7,9,8
160,Jessica Washington,jessicawashington@example.com,Year 2,data science and analytics,12/10/2024,1/1/1900 21:10,Yes,To go to class,3,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,15,7,5,6,8,9,8,8
161,Jeffrey Neal,jeffreyneal@example.com,Year 2,geography,12/10/2024,1/1/1900 18:00,Yes,To go to class,2,10,No,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,Rainy,50,8,7,7,5,4,10,7
162,Meagan Ramos,meaganramos@example.net,Year 3,data science and analytics,14/10/2024,1/1/1900 11:20,No,To go to MRT,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Rainy,20,3,7,3,7,8,9,8
163,Amber Gibbs,ambergibbs@example.org,Year 3,data science and analytics,14/10/2024,1/1/1900 14:20,No,To go to class,3,25,No,COM3,LT27 / S17,D2,Rainy,15,5,6,7,6,7,7,6
164,Heather Herrera,heatherherrera@example.com,Year 2,anthropology,14/10/2024,1/1/1900 11:00,Yes,To go to class,2,10,No,LT27 / S17,UHC / Opp UHC,A1,Rainy,20,5,6,8,5,5,5,5
165,Elizabeth Gomez,elizabethgomez@example.com,Year 3,materials science and engineering,14/10/2024,1/1/1900 11:35,Yes,To go to class,2,20,No,UTown,IT / CLB,D1,Rainy,15,7,5,8,3,3,5,5
166,Joseph Kelley,josephkelley@example.net,Year 4,statistics,14/10/2024,1/1/1900 18:00,No,To go to CCA sessions,3,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,7,3,7,5,5,5,8,8
167,Brian Lindsey,brianlindsey@example.org,Year 2,life sciences,14/10/2024,1/1/1900 12:00,No,To go to class,2,10,No,UTown,LT13 / Ventus,D1,Sunny,10,4,6,6,4,5,7,8
168,Mary Dixon,marydixon@example.org,Year 2,malay studies,14/10/2024,1/1/1900 12:00,No,To go to class,2,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,4,7,6,7,7,8,7
169,Marcus Sandoval,marcussandoval@example.org,Year 2,global studies,14/10/2024,1/1/1900 9:00,No,To go to CCA sessions,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,5,6,8,4,5,8,6
170,Michelle Parker,michelleparker@example.com,Year 4,psychology,14/10/2024,1/1/1900 14:00,No,To go to class,4,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Rainy,25,4,6,6,6,7,7,8
171,Michael Solis,michaelsolis@example.com,Year 1,law,14/10/2024,1/1/1900 8:45,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Rainy,40,15,4,10,2,4,4,5
172,Stacey Martinez,staceymartinez@example.com,Year 2,political science,14/10/2024,1/1/1900 9:30,No,To go to class,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,30,15,2,10,2,5,4,4
173,Kenneth Smith,kennethsmith@example.org,Year 1,nursing,14/10/2024,1/1/1900 7:50,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Rainy,60,7,6,10,4,7,9,8
174,Donna Blankenship,donnablankenship@example.com,Year 1,environmental studies,14/10/2024,1/1/1900 9:35,No,To go to class,3,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,65,7,4,10,6,6,9,7
175,Kimberly Baxter,kimberlybaxter@example.net,Year 4,anthropology,15/10/2024,1/1/1900 10:10,No,To go to class,2,5,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Sunny,20,10,3,9,3,3,3,3
176,Katherine Camacho,katherinecamacho@example.org,Year 3,data science and analytics,15/10/2024,1/1/1900 11:20,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Rainy,10,5,6,3,8,8,8,8
177,Brooke Alexander,brookealexander@example.com,Year 3,malay studies,15/10/2024,1/1/1900 11:00,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,25,6,5,7,6,7,8,7
178,Mercedes Pierce,mercedespierce@example.com,Year 2,global studies,15/10/2024,1/1/1900 10:00,No,To go to class,3,35,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,6,5,7,5,7,8,6
179,Julie Lewis,julielewis@example.com,Year 3,global studies,15/10/2024,1/1/1900 11:00,No,To go to MRT,2,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,15,8,4,6,6,7,8,7
180,Courtney Kent,courtneykent@example.com,Year 2,political science,15/10/2024,1/1/1900 11:45,No,To go to MRT,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,35,15,4,8,5,6,9,3
181,James Patton,jamespatton@example.net,Year 3,chemistry,16/10/2024,1/1/1900 7:40,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,5,8,9,8,9,10,9
182,Jasmine Russell,jasminerussell@example.com,Year 1,malay studies,16/10/2024,1/1/1900 10:00,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,15,5,6,8,4,7,8,7
183,Daniel Best,danielbest@example.org,Year 1,global studies,16/10/2024,1/1/1900 9:00,No,To go to class,3,35,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,25,5,6,8,4,7,8,6
184,Lori Thompson,lorithompson@example.org,Year 3,psychology,16/10/2024,1/1/1900 13:30,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,7,4,7,5,7,7,7
185,Crystal Hawkins,crystalhawkins@example.net,Year 1,malay studies,17/10/2024,1/1/1900 9:00,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,5,6,7,4,6,7,7
186,Matthew Lopez,matthewlopez@example.net,Year 3,global studies,17/10/2024,1/1/1900 12:00,No,To go to class,2,20,No,LT13 / Ventus,LT27 / S17,A1,Rainy,30,6,5,9,3,4,7,5
187,Francisco Jones,franciscojones@example.net,Year 1,psychology,17/10/2024,1/1/1900 11:30,No,To go to class,3,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,30,5,5,9,3,5,8,6
188,Michael Ruiz,michaelruiz@example.org,Year 4,psychology,17/10/2024,1/1/1900 13:00,No,To go to class,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,30,3,7,6,6,7,8,7
189,Scott Jefferson,scottjefferson@example.org,Year 2,law,17/10/2024,1/1/1900 14:30,No,To go to class,4,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,15,5,8,4,9,8,10,9
190,John Davis,johndavis@example.org,Year 1,nursing,17/10/2024,1/1/1900 9:30,Yes,To go to class,3,40,No,PGP,LT27 / S17,D2,Rainy,40,4,7,9,5,6,9,8
191,Barbara Wade,barbarawade@example.net,Year 3,malay studies,18/10/2024,1/1/1900 11:00,No,To go to MRT,2,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,30,4,7,8,4,6,7,5
192,Mr. Steven Green,mr.stevengreen@example.com,Year 4,psychology,18/10/2024,1/1/1900 11:00,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,Sunny,20,4,7,6,6,7,7,7
193,John Nicholson,johnnicholson@example.org,Year 3,law,18/10/2024,1/1/1900 8:50,No,To go to class,3,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,30,5,8,8,4,5,7,7
194,Mrs. Donna Riddle,mrs.donnariddle@example.net,Year 3,dentistry,18/10/2024,1/1/1900 9:30,No,To go to MRT,4,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,20,5,8,5,6,8,8,8
195,Whitney Hancock,whitneyhancock@example.org,Year 2,materials science and engineering,15/10/2024,1/1/1900 11:45,No,To go to MRT,3,20,No,LT27 / S17,IT / CLB,A1,Rainy,20,5,3,9,4,3,4,3
196,Valerie Fuller,valeriefuller@example.com,Year 1,statistics,15/10/2024,1/1/1900 8:45,No,To go for meals,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Rainy,9,5,5,6,4,7,8,6
197,Angel Taylor,angeltaylor@example.org,Year 4,life sciences,15/10/2024,1/1/1900 9:45,No,To go to CCA sessions,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,10,2,9,2,3,3,3
198,John Alexander,johnalexander@example.com,Year 1,economics,17/10/2024,1/1/1900 11:45,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Rainy,30,15,7,7,7,7,7,7
199,Teresa Frank,teresafrank@example.org,Year 1,economics,18/10/2024,1/1/1900 11:30,No,To go to MRT,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Rainy,30,15,7,7,7,7,7,7
200,Jessica Peters,jessicapeters@example.net,Year 4,economics,14/10/2024,1/1/1900 9:00,No,To go to class,1,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Sunny,10,5,10,6,6,7,10,9
201,Elizabeth Hall,elizabethhall@example.net,Year 4,economics,15/10/2024,1/1/1900 15:00,No,To go to class,2,10,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Sunny,3,3,10,1,10,10,10,10
202,David Cortez,davidcortez@example.org,Year 1,sociology,16/10/2024,1/1/1900 8:00,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,15,No,UTown,PGP,D2,Sunny,30,20,1,10,1,1,4,3
203,Ryan Lambert,ryanlambert@example.org,Year 2,sociology,16/10/2024,1/1/1900 9:00,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,15,No,UTown,PGP,D2,Rainy,50,25,1,10,1,1,1,1
204,Timothy Villarreal,timothyvillarreal@example.org,Year 3,environmental studies,11/10/2024,1/1/1900 9:50,No,To go to class,3,40,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,50,5,8,10,3,6,9,7
205,Leslie Gibson,lesliegibson@example.net,Year 4,environmental studies,17/10/2024,1/1/1900 11:50,No,To go to class,2,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,30,3,9,10,6,6,9,8
206,Mary Li,maryli@example.org,Year 1,chemistry,7/10/2024,1/1/1900 7:20,Yes,To go to class,4,45,Yes,UTown,UHC / Opp UHC,D2,Sunny,25,5,9,7,6,7,9,9
207,Andrew Williams,andrewwilliams@example.org,Year 1,computer science,14/10/2024,1/1/1900 9:30,Yes,To go to class,2,15,No,UTown,COM3,D1,Sunny,17,15,6,7,6,6,6,6
208,James Kennedy,jameskennedy@example.net,Year 1,computer science,15/10/2024,1/1/1900 17:00,Yes,To go to class,2,15,No,UTown,COM3,D1,Sunny,25,20,4,9,4,6,5,4
209,Alicia Meza,aliciameza@example.net,Year 1,chemistry,15/10/2024,1/1/1900 9:30,No,To go to class,4,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Rainy,55,5,8,10,4,7,9,7
210,Bailey Fuller,baileyfuller@example.org,Year 2,chemistry,2/10/2024,1/1/1900 8:50,Yes,To go to class,5,40,Yes,PGP,UHC / Opp UHC,A1,Sunny,35,5,8,9,7,7,9,9
211,Ryan Velasquez,ryanvelasquez@example.com,Year 3,chemistry,17/10/2024,1/1/1900 9:40,No,To go to class,2,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Rainy,50,5,8,10,7,6,9,9
212,Barry Lewis,barrylewis@example.com,Year 3,data science and analytics,17/10/2024,1/1/1900 10:30,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Rainy,20,1,9,5,7,7,8,8
213,Stephen Roberts,stephenroberts@example.org,Year 3,data science and analytics,16/10/2024,1/1/1900 10:40,No,To go to class,2,25,No,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,Rainy,20,4,7,7,6,7,8,7
214,Taylor Newman,taylornewman@example.net,Year 1,computer science,15/10/2024,1/1/1900 12:00,Yes,To go for meals,4,45,No,PGP,UTown,D2,Sunny,20,10,7,9,6,8,8,8
215,Destiny Richards,destinyrichards@example.net,Year 2,social work,8/10/2024,1/1/1900 17:15,Yes,To go for meals,4,35,No,UHC / Opp UHC,IT / CLB,A2,Sunny,20,12,5,8,7,8,7,7
216,Cody Forbes,codyforbes@example.net,Year 4,social work,10/10/2024,1/1/1900 10:30,No,To go to class,4,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A2,Sunny,7,7,10,3,9,8,10,9
217,Luis Barnett,luisbarnett@example.net,Year 4,social work,10/10/2024,1/1/1900 9:00,No,"To go to in-school accommodation (halls, RCs, houses etc.)",2,37,No,Kent Ridge MRT / Opp Kent Ridge MRT,PGP,A2,Sunny,35,15,5,9,5,6,7,6
218,Ronnie Johnson,ronniejohnson@example.com,Year 4,chemistry,11/10/2024,1/1/1900 8:02,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,Sunny,30,4,8,9,5,6,9,8
219,Joseph Peters,josephpeters@example.org,Year 2,chemistry,17/10/2024,1/1/1900 9:51,Yes,To go to class,5,40,No,UTown,LT27 / S17,D2,Rainy,40,5,6,9,6,7,9,7
220,Melissa Estrada,melissaestrada@example.com,Year 1,history,14/10/2024,1/1/1900 7:50,Yes,To go to class,4,40,No,UTown,IT / CLB,D1,Sunny,20,5,7,7,8,9,10,7
221,James Cook,jamescook@example.com,Year 2,statistics,16/10/2024,1/1/1900 9:45,No,To go to class,3,20,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,30,4,5,9,3,4,3,5
222,Steve Russo,steverusso@example.net,Year 4,history,15/10/2024,1/1/1900 9:30,No,To go to class,2,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,40,5,7,10,4,6,9,7
223,Daniel Douglas,danieldouglas@example.net,Year 2,history,16/10/2024,1/1/1900 7:00,Yes,To go to class,4,50,Yes,PGP,UHC / Opp UHC,A1,Rainy,30,4,7,10,8,8,10,7
224,Angela Taylor,angelataylor@example.net,Year 1,materials science and engineering,16/10/2024,1/1/1900 16:00,No,To go to CCA sessions,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,Sunny,15,2,9,6,8,7,8,8
225,Melissa Carroll,melissacarroll@example.org,Year 3,life sciences,16/10/2024,1/1/1900 9:45,Yes,To go to class,3,30,No,PGP,LT27 / S17,D2,Rainy,8,5,5,7,6,7,8,7
226,Corey Brown,coreybrown@example.net,Year 1,history,17/10/2024,1/1/1900 11:30,Yes,To go to class,5,40,No,LT27 / S17,IT / CLB,A1,Sunny,15,3,8,10,5,8,9,7
227,Abigail Brooks,abigailbrooks@example.com,Year 4,materials science and engineering,17/10/2024,1/1/1900 12:20,No,To go for meals,2,20,No,LT27 / S17,IT / CLB,A1,Sunny,15,2,9,7,5,6,5,7
228,Stephanie Green,stephaniegreen@example.org,Year 3,history,18/10/2024,1/1/1900 9:50,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Rainy,45,5,7,10,4,8,9,7
229,Charles Ochoa,charlesochoa@example.net,Year 3,statistics,17/10/2024,1/1/1900 12:40,No,To go to MRT,2,15,No,UTown,LT13 / Ventus,D1,Rainy,40,6,3,9,4,3,4,4
230,Christine Patrick,christinepatrick@example.org,Year 2,life sciences,17/10/2024,1/1/1900 13:15,No,To go for meals,3,30,No,LT27 / S17,UTown,D2,Sunny,20,4,5,7,5,6,6,5
231,Jason Barron,jasonbarron@example.org,Year 3,history,14/10/2024,1/1/1900 11:40,No,To go to class,2,25,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,Rainy,40,5,7,10,5,6,9,7
232,Alex Lee,alexlee@example.org,Year 4,materials science and engineering,18/10/2024,1/1/1900 17:00,No,To go to class,3,30,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A2,Sunny,15,4,7,4,8,8,9,8
233,Logan Black,loganblack@example.net,Year 4,statistics,18/10/2024,1/1/1900 12:30,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,Sunny,20,2,8,7,4,6,6,5
234,Jordan Brady,jordanbrady@example.net,Year 1,life sciences,18/10/2024,1/1/1900 12:30,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",3,30,No,UHC / Opp UHC,LT27 / S17,A2,Sunny,5,3,7,5,7,7,9,8
235,Adam Shields,adamshields@example.org,Year 3,materials science and engineering,14/10/2024,1/1/1900 12:35,No,To go to class,3,30,No,UTown,LT13 / Ventus,D1,Sunny,30,4,4,8,5,4,4,6
236,David Mathis,davidmathis@example.com,Year 2,statistics,16/10/2024,1/1/1900 13:00,Yes,To go to class,2,20,No,UHC / Opp UHC,IT / CLB,A1,Rainy,5,3,7,7,4,5,6,6
237,Luis Matthews,luismatthews@example.org,Year 4,life sciences,18/10/2024,1/1/1900 10:20,No,To go to MRT,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,30,3,6,8,5,6,6,5
238,Michael Meadows,michaelmeadows@example.com,Year 3,architecture,14/10/2024,1/1/1900 14:30,No,To go to class,2,15,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,10,5,4,4,6,6,4,6
239,Jamie Warner,jamiewarner@example.net,Year 3,architecture,15/10/2024,1/1/1900 15:30,No,To go to class,2,40,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,Sunny,10,10,7,4,7,6,7,7
